"","DateTime","site","flow"
"256",2019-10-17 15:00:00,"FW",98.56
"257",2019-10-17 16:00:00,"FW",98.56
"258",2019-10-17 17:00:00,"FW",98.56
"259",2019-10-17 18:00:00,"FW",98.56
"260",2019-10-17 19:00:00,"FW",98.56
"261",2019-10-17 20:00:00,"FW",98.56
"262",2019-10-17 21:00:00,"FW",98.56
"263",2019-10-17 22:00:00,"FW",98.56
"264",2019-10-17 23:00:00,"FW",98.56
"265",2019-10-18 00:00:00,"FW",87.1
"266",2019-10-18 01:00:00,"FW",87.1
"267",2019-10-18 02:00:00,"FW",87.1
"268",2019-10-18 03:00:00,"FW",87.1
"269",2019-10-18 04:00:00,"FW",87.1
"270",2019-10-18 05:00:00,"FW",87.1
"271",2019-10-18 06:00:00,"FW",87.1
"272",2019-10-18 07:00:00,"FW",87.1
"273",2019-10-18 08:00:00,"FW",87.1
"274",2019-10-18 09:00:00,"FW",87.1
"275",2019-10-18 10:00:00,"FW",87.1
"276",2019-10-18 11:00:00,"FW",87.1
"277",2019-10-18 12:00:00,"FW",87.1
"278",2019-10-18 13:00:00,"FW",87.1
"279",2019-10-18 14:00:00,"FW",87.1
"280",2019-10-18 15:00:00,"FW",87.1
"281",2019-10-18 16:00:00,"FW",87.1
"282",2019-10-18 17:00:00,"FW",87.1
"283",2019-10-18 18:00:00,"FW",87.1
"284",2019-10-18 19:00:00,"FW",87.1
"285",2019-10-18 20:00:00,"FW",87.1
"286",2019-10-18 21:00:00,"FW",87.1
"287",2019-10-18 22:00:00,"FW",87.1
"288",2019-10-18 23:00:00,"FW",87.1
"289",2019-10-19 00:00:00,"FW",97.55
"290",2019-10-19 01:00:00,"FW",97.55
"291",2019-10-19 02:00:00,"FW",97.55
"292",2019-10-19 03:00:00,"FW",97.55
"293",2019-10-19 04:00:00,"FW",97.55
"294",2019-10-19 05:00:00,"FW",97.55
"295",2019-10-19 06:00:00,"FW",97.55
"296",2019-10-19 07:00:00,"FW",97.55
"297",2019-10-19 08:00:00,"FW",97.55
"298",2019-10-19 09:00:00,"FW",97.55
"299",2019-10-19 10:00:00,"FW",97.55
"300",2019-10-19 11:00:00,"FW",97.55
"301",2019-10-19 12:00:00,"FW",97.55
"302",2019-10-19 13:00:00,"FW",97.55
"303",2019-10-19 14:00:00,"FW",97.55
"304",2019-10-19 15:00:00,"FW",97.55
"305",2019-10-19 16:00:00,"FW",97.55
"306",2019-10-19 17:00:00,"FW",97.55
"307",2019-10-19 18:00:00,"FW",97.55
"308",2019-10-19 19:00:00,"FW",97.55
"309",2019-10-19 20:00:00,"FW",97.55
"310",2019-10-19 21:00:00,"FW",97.55
"311",2019-10-19 22:00:00,"FW",97.55
"312",2019-10-19 23:00:00,"FW",97.55
"313",2019-10-20 00:00:00,"FW",85.17
"314",2019-10-20 01:00:00,"FW",85.17
"315",2019-10-20 02:00:00,"FW",85.17
"316",2019-10-20 03:00:00,"FW",85.17
"317",2019-10-20 04:00:00,"FW",85.17
"318",2019-10-20 05:00:00,"FW",85.17
"319",2019-10-20 06:00:00,"FW",85.17
"320",2019-10-20 07:00:00,"FW",85.17
"321",2019-10-20 08:00:00,"FW",85.17
"322",2019-10-20 09:00:00,"FW",85.17
"323",2019-10-20 10:00:00,"FW",85.17
"324",2019-10-20 11:00:00,"FW",85.17
"325",2019-10-20 12:00:00,"FW",85.17
"326",2019-10-20 13:00:00,"FW",85.17
"327",2019-10-20 14:00:00,"FW",85.17
"328",2019-10-20 15:00:00,"FW",85.17
"329",2019-10-20 16:00:00,"FW",85.17
"330",2019-10-20 17:00:00,"FW",85.17
"331",2019-10-20 18:00:00,"FW",85.17
"332",2019-10-20 19:00:00,"FW",85.17
"333",2019-10-20 20:00:00,"FW",85.17
"334",2019-10-20 21:00:00,"FW",85.17
"335",2019-10-20 22:00:00,"FW",85.17
"336",2019-10-20 23:00:00,"FW",85.17
"337",2019-10-21 00:00:00,"FW",87.88
"338",2019-10-21 01:00:00,"FW",87.88
"339",2019-10-21 02:00:00,"FW",87.88
"340",2019-10-21 03:00:00,"FW",87.88
"341",2019-10-21 04:00:00,"FW",87.88
"342",2019-10-21 05:00:00,"FW",87.88
"343",2019-10-21 06:00:00,"FW",87.88
"344",2019-10-21 07:00:00,"FW",87.88
"345",2019-10-21 08:00:00,"FW",87.88
"346",2019-10-21 09:00:00,"FW",87.88
"347",2019-10-21 10:00:00,"FW",87.88
"348",2019-10-21 11:00:00,"FW",87.88
"349",2019-10-21 12:00:00,"FW",87.88
"350",2019-10-21 13:00:00,"FW",87.88
"351",2019-10-21 14:00:00,"FW",87.88
"352",2019-10-21 15:00:00,"FW",87.88
"353",2019-10-21 16:00:00,"FW",87.88
