surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
443122,0,odu/pel,c,cb7.4,2013-06-05t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,114034200,l,auto_pico,1148,20131015cb7.4
443122,0,odu/pel,c,cb7.4,2013-06-05t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,103030900,l,auto_pico,1148,20131015cb7.4
443128,0,odu/pel,c,le3.6,2013-06-05t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,43012900,l,auto_pico,1148,20131015le3.6
443128,0,odu/pel,c,le3.6,2013-06-05t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,38011400,l,auto_pico,1148,20131015le3.6
443130,0,odu/pel,c,ret5.2,2013-06-06t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,60018000,l,auto_pico,1148,20131015ret5.2
443132,0,odu/pel,c,tf5.5,2013-06-06t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,72021600,l,auto_pico,1148,20131015tf5.5
443134,0,odu/pel,c,ret3.1,2013-06-11t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,85025500,l,auto_pico,1148,20131015ret3.1
443136,0,odu/pel,c,tf3.3,2013-06-11t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,89026700,l,auto_pico,1148,20131015tf3.3
443138,0,odu/pel,c,sbe5,2013-06-12t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,49014700,l,auto_pico,1148,20131015sbe5
443142,0,odu/pel,c,ret4.3,2013-06-18t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,120036000,l,auto_pico,1148,20131015ret4.3
443140,0,odu/pel,c,tf4.2,2013-06-18t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,45013500,l,auto_pico,1148,20131015tf4.2
443144,0,odu/pel,c,ret3.1,2013-07-09t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,222066600,l,auto_pico,1148,20131231ret3.1
443146,0,odu/pel,c,tf3.3,2013-07-09t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,65019500,l,auto_pico,1148,20131231tf3.3
443148,0,odu/pel,c,sbe5,2013-07-10t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,152545750,l,auto_pico,1148,20131231sbe5
443156,0,odu/pel,c,cb6.1,2013-07-15t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,151045300,l,auto_pico,1148,20131231cb6.1
443156,0,odu/pel,c,cb6.1,2013-07-15t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,98029400,l,auto_pico,1148,20131231cb6.1
